#{"t_start": 1756043710.4567063, "env_id": "PandaPush-v3"}
r,l,t
-50.0,50,1.750992
-50.0,50,1.894157
-50.0,50,5.368733
-50.0,50,6.653503
-50.0,50,8.144258
-50.0,50,9.38145
-50.0,50,10.597747
-50.0,50,11.904664
-50.0,50,13.198338
-50.0,50,14.480484
-50.0,50,15.765495
-50.0,50,17.089188
-50.0,50,18.400865
-50.0,50,19.700959
-50.0,50,21.004243
-50.0,50,22.324711
-50.0,50,23.643652
0.0,1,23.671498
-50.0,50,24.933758
-50.0,50,26.187535
-50.0,50,27.527783
-50.0,50,28.807513
0.0,1,28.830964
-50.0,50,30.091169
-50.0,50,31.419097
-50.0,50,33.287365
-50.0,50,34.742916
-50.0,50,36.029697
-50.0,50,37.298164
-50.0,50,38.752448
-50.0,50,40.15965
-50.0,50,41.592336
-50.0,50,43.037806
-50.0,50,44.423043
-50.0,50,45.859624
-50.0,50,47.251296
-50.0,50,48.720592
-50.0,50,50.127036
0.0,1,50.15431
-50.0,50,51.560185
-50.0,50,52.945454
0.0,1,52.971218
-50.0,50,54.440579
-50.0,50,55.766081
-50.0,50,57.080797
0.0,1,57.10764
-50.0,50,58.432468
-50.0,50,59.759465
-50.0,50,61.071043
0.0,1,61.099156
-50.0,50,62.385333
-50.0,50,63.715681
-50.0,50,65.050182
-50.0,50,66.375148
-50.0,50,67.68421
-50.0,50,69.059446
-50.0,50,70.403925
-50.0,50,71.723395
-50.0,50,73.057704
-50.0,50,74.4959
-50.0,50,75.808987
-50.0,50,77.113683
-50.0,50,78.499778
-50.0,50,79.943851
-50.0,50,81.274008
-50.0,50,82.61908
-50.0,50,83.927554
-50.0,50,85.274253
-50.0,50,86.591981
-50.0,50,87.898537
-50.0,50,89.208982
-50.0,50,90.583518
-50.0,50,91.880203
-50.0,50,93.137319
-50.0,50,94.421399
-50.0,50,95.790296
-50.0,50,97.086848
-50.0,50,98.395234
-50.0,50,99.69767
-50.0,50,101.075657
-50.0,50,102.415766
-50.0,50,103.801899
-50.0,50,105.107172
-50.0,50,106.516852
-50.0,50,107.887036
-50.0,50,109.28018
-50.0,50,110.676434
-50.0,50,112.036415
-50.0,50,113.394876
-50.0,50,114.760846
-50.0,50,116.151766
-50.0,50,117.471145
-50.0,50,118.861702
-50.0,50,120.217123
-50.0,50,121.737197
-50.0,50,123.150707
-50.0,50,124.559463
-50.0,50,125.938654
-50.0,50,127.366153
-50.0,50,128.754431
-50.0,50,130.151383
-50.0,50,131.612959
-50.0,50,132.986077
-50.0,50,134.474421
-50.0,50,135.895371
-50.0,50,137.37497
-50.0,50,138.807057
-50.0,50,140.199895
-50.0,50,141.568489
-50.0,50,142.982652
-50.0,50,144.359186
-50.0,50,145.758058
-50.0,50,147.168728
-50.0,50,148.632347
-50.0,50,150.022639
-50.0,50,151.372767
0.0,1,151.407615
-50.0,50,152.841707
-50.0,50,154.177005
-50.0,50,155.535577
-8.0,9,155.788934
-50.0,50,157.15345
-50.0,50,158.5459
-50.0,50,159.882189
-50.0,50,161.287325
-50.0,50,162.755685
-50.0,50,164.215797
-50.0,50,165.612641
-50.0,50,167.03316
-50.0,50,168.52421
-50.0,50,169.934781
-50.0,50,171.378866
0.0,1,171.413108
-50.0,50,172.855147
-50.0,50,174.286937
-50.0,50,175.650795
-50.0,50,177.062246
-50.0,50,178.504023
-50.0,50,179.858819
-50.0,50,181.208896
