#{"t_start": 1755965729.7466593, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,3.802804
-2.0,3,3.809865
-50.0,50,4.050255
-50.0,50,4.931736
-50.0,50,5.94243
-50.0,50,6.818304
-50.0,50,7.680069
-50.0,50,8.547488
-50.0,50,9.429879
-50.0,50,10.292445
-50.0,50,11.14278
-50.0,50,11.996284
-50.0,50,12.858902
-50.0,50,13.723888
-3.0,4,13.791579
-50.0,50,14.658369
-50.0,50,15.535617
-50.0,50,16.422177
-50.0,50,17.317572
-50.0,50,18.216762
-50.0,50,19.117939
-50.0,50,20.001433
-50.0,50,20.8784
-50.0,50,21.751542
-50.0,50,22.640511
-50.0,50,23.518895
-50.0,50,24.399261
-50.0,50,25.292469
-50.0,50,26.185138
-50.0,50,27.076481
-50.0,50,27.954736
-50.0,50,28.840574
-50.0,50,29.736293
-50.0,50,30.611991
-50.0,50,31.502001
-50.0,50,32.381464
-50.0,50,33.334744
-50.0,50,34.216156
-50.0,50,35.093853
-1.0,2,35.130259
-50.0,50,36.021919
-50.0,50,36.900915
-50.0,50,37.778907
-50.0,50,38.659594
-50.0,50,39.549134
-50.0,50,40.425219
-50.0,50,41.304047
-50.0,50,42.196882
0.0,1,42.22303
-50.0,50,43.1257
-50.0,50,44.017661
-50.0,50,44.904876
-50.0,50,45.804415
-50.0,50,46.717305
-50.0,50,47.651287
-50.0,50,48.582396
-1.0,2,48.627985
-50.0,50,49.541663
-50.0,50,50.444354
-50.0,50,51.41115
-50.0,50,52.42696
-50.0,50,53.354936
-50.0,50,54.263163
-50.0,50,55.237841
-50.0,50,56.219816
-50.0,50,57.218107
-50.0,50,58.288877
-50.0,50,59.230228
-50.0,50,60.13002
-50.0,50,61.013165
-50.0,50,61.899807
-50.0,50,62.79955
-50.0,50,63.694881
-50.0,50,64.578925
-50.0,50,65.467678
-50.0,50,66.356932
-50.0,50,67.257764
-50.0,50,68.149932
0.0,1,68.16841
-50.0,50,69.079873
-50.0,50,69.976215
-50.0,50,70.852767
-50.0,50,71.725396
-50.0,50,72.609411
-50.0,50,73.511326
-50.0,50,74.381757
-50.0,50,75.257971
-50.0,50,76.149278
-50.0,50,77.047513
-29.0,30,77.578708
-50.0,50,78.459886
-2.0,3,78.512852
-50.0,50,79.404261
-50.0,50,80.280801
-50.0,50,81.157065
-20.0,21,81.52635
-50.0,50,82.417751
-50.0,50,83.304382
-50.0,50,84.195991
-50.0,50,85.091649
-50.0,50,85.990416
-50.0,50,86.879282
-50.0,50,87.786856
-9.0,10,87.966204
-50.0,50,88.857357
-50.0,50,89.737385
-28.0,29,90.247603
-50.0,50,91.346356
-14.0,15,91.617263
-6.0,7,91.740753
-18.0,19,92.081182
-12.0,13,93.105896
-50.0,50,94.007891
-50.0,50,94.883331
-50.0,50,95.833428
-50.0,50,96.810177
-50.0,50,97.706253
-50.0,50,98.590352
-1.0,2,98.626653
-50.0,50,99.542952
-50.0,50,100.611745
-1.0,2,100.646856
-50.0,50,101.538854
-50.0,50,102.582776
-50.0,50,103.473101
-50.0,50,104.339036
-50.0,50,105.38583
-50.0,50,106.284392
-50.0,50,107.377979
-50.0,50,108.31766
-50.0,50,109.365165
-50.0,50,110.277443
-50.0,50,111.327869
-50.0,50,112.27274
-50.0,50,113.373735
-50.0,50,114.298522
-50.0,50,115.378824
-50.0,50,116.306122
-50.0,50,117.33558
-50.0,50,118.279603
-50.0,50,119.181668
-50.0,50,120.176175
-50.0,50,121.216928
-50.0,50,122.214091
0.0,1,122.244943
-50.0,50,123.228782
-50.0,50,124.164176
-50.0,50,125.183794
-3.0,4,125.278726
-50.0,50,126.299545
-50.0,50,127.323309
-50.0,50,128.343852
-50.0,50,129.445785
-2.0,3,129.512879
-50.0,50,130.468471
-50.0,50,131.535791
-50.0,50,132.533363
-50.0,50,133.600591
-50.0,50,134.57729
-42.0,43,135.481396
-50.0,50,136.456831
-50.0,50,137.35896
-50.0,50,138.449306
-50.0,50,139.455638
-50.0,50,140.481812
-50.0,50,141.474826
-50.0,50,142.507226
-50.0,50,143.467863
-50.0,50,144.55605
-50.0,50,145.527679
-6.0,7,145.649759
-50.0,50,146.680734
-50.0,50,147.639293
-50.0,50,148.686348
-50.0,50,149.646995
-50.0,50,150.690919
-50.0,50,151.65802
-50.0,50,152.72103
-50.0,50,153.663813
-50.0,50,154.698449
-50.0,50,155.664291
-50.0,50,156.684254
-50.0,50,157.644972
-50.0,50,158.664968
-50.0,50,159.637733
-50.0,50,160.661248
-50.0,50,161.635778
-50.0,50,162.640867
-8.0,9,162.84792
-50.0,50,163.782172
-50.0,50,164.807189
-50.0,50,165.761966
-9.0,10,165.945407
-50.0,50,167.01647
-3.0,4,167.106028
-50.0,50,168.001452
-50.0,50,169.105525
-50.0,50,170.009792
-50.0,50,171.094493
-50.0,50,172.006117
-50.0,50,173.072807
-50.0,50,174.003015
-50.0,50,175.090497
-50.0,50,176.010452
-3.0,4,176.089991
-50.0,50,177.17036
-50.0,50,178.084183
-2.0,3,178.139662
-50.0,50,179.243088
-3.0,4,179.320511
-50.0,50,180.212046
-7.0,8,180.374632
-50.0,50,181.450864
-50.0,50,182.366957
-50.0,50,183.451762
-1.0,2,183.48957
-1.0,2,183.534291
-50.0,50,184.460725
-50.0,50,185.534475
-50.0,50,186.458499
-50.0,50,187.528005
-50.0,50,188.436126
-50.0,50,189.511791
-50.0,50,190.412321
-50.0,50,191.497578
-50.0,50,192.96853
-50.0,50,193.944245
-2.0,3,194.000041
-2.0,3,194.059717
-50.0,50,195.094701
-4.0,5,195.209221
-50.0,50,196.146793
-5.0,6,196.260118
-50.0,50,197.340011
