timesteps,episode,success
50,0,0
100,1,0
150,2,0
200,3,0
250,4,0
300,5,0
350,6,0
400,7,0
450,8,0
500,9,0
550,10,0
600,11,0
650,12,0
700,13,0
750,14,0
800,15,0
850,16,0
851,17,1
901,18,0
951,19,0
1001,20,0
1051,21,0
1052,22,1
1102,23,0
1152,24,0
1202,25,0
1252,26,0
1302,27,0
1352,28,0
1402,29,0
1452,30,0
1502,31,0
1552,32,0
1602,33,0
1652,34,0
1702,35,0
1752,36,0
1802,37,0
1803,38,1
1853,39,0
1903,40,0
1904,41,1
1954,42,0
2004,43,0
2054,44,0
2055,45,1
2105,46,0
2155,47,0
2205,48,0
2206,49,1
2256,50,0
2306,51,0
2356,52,0
2406,53,0
2456,54,0
2506,55,0
2556,56,0
2606,57,0
2656,58,0
2706,59,0
2756,60,0
2806,61,0
2856,62,0
2906,63,0
2956,64,0
3006,65,0
3056,66,0
3106,67,0
3156,68,0
3206,69,0
3256,70,0
3306,71,0
3356,72,0
3406,73,0
3456,74,0
3506,75,0
3556,76,0
3606,77,0
3656,78,0
3706,79,0
3756,80,0
3806,81,0
3856,82,0
3906,83,0
3956,84,0
4006,85,0
4056,86,0
4106,87,0
4156,88,0
4206,89,0
4256,90,0
4306,91,0
4356,92,0
4406,93,0
4456,94,0
4506,95,0
4556,96,0
4606,97,0
4656,98,0
4706,99,0
4756,100,0
4806,101,0
4856,102,0
4906,103,0
4956,104,0
5006,105,0
5056,106,0
5106,107,0
5156,108,0
5206,109,0
5256,110,0
5306,111,0
5356,112,0
5406,113,0
5456,114,0
5506,115,0
5507,116,1
5557,117,0
5607,118,0
5657,119,0
5666,120,1
5716,121,0
5766,122,0
5816,123,0
5866,124,0
5916,125,0
5966,126,0
6016,127,0
6066,128,0
6116,129,0
6166,130,0
6216,131,0
6217,132,1
6267,133,0
6317,134,0
6367,135,0
6417,136,0
6467,137,0
6517,138,0
6567,139,0
6617,140,0
6667,141,0
6717,142,0
6767,143,0
6817,144,0
6867,145,0
6917,146,0
6967,147,0
7017,148,0
7067,149,0
7117,150,0
7167,151,0
7217,152,0
7267,153,0
7317,154,0
7367,155,0
7417,156,0
7467,157,0
7517,158,0
7567,159,0
7617,160,0
7667,161,0
7717,162,0
7767,163,0
7817,164,0
7867,165,0
7868,166,1
7869,167,1
7919,168,0
7969,169,0
8019,170,0
8069,171,0
8119,172,0
8169,173,0
8219,174,0
8269,175,0
8319,176,0
8369,177,0
8419,178,0
8469,179,0
8519,180,0
8569,181,0
8619,182,0
8669,183,0
8719,184,0
8769,185,0
8819,186,0
8869,187,0
8919,188,0
8969,189,0
9019,190,0
9069,191,0
9119,192,0
9169,193,0
9170,194,1
9220,195,0
9270,196,0
9320,197,0
9370,198,0
9420,199,0
9470,200,0
9520,201,0
9521,202,1
9571,203,0
9621,204,0
9622,205,1
9672,206,0
9722,207,0
9772,208,0
9822,209,0
9872,210,0
9922,211,0
9923,212,1
9973,213,0
10023,214,0
10073,215,0
10123,216,0
10173,217,0
10223,218,0
10224,219,1
10274,220,0
10324,221,0
10374,222,0
10424,223,0
10474,224,0
10524,225,0
10574,226,0
10624,227,0
10674,228,0
10724,229,0
10774,230,0
10824,231,0
10874,232,0
10875,233,1
10925,234,0
10975,235,0
11025,236,0
11075,237,0
11076,238,1
11126,239,0
11176,240,0
11226,241,0
11276,242,0
11326,243,0
11376,244,0
11426,245,0
11476,246,0
11477,247,1
11527,248,0
11577,249,0
11627,250,0
11677,251,0
11678,252,1
11728,253,0
11778,254,0
11828,255,0
11878,256,0
11928,257,0
11978,258,0
11979,259,1
12029,260,0
12079,261,0
12129,262,0
12179,263,0
12229,264,0
12230,265,1
12280,266,0
12330,267,0
12380,268,0
12430,269,0
12480,270,0
12530,271,0
12580,272,0
12630,273,0
12680,274,0
12730,275,0
12731,276,1
12781,277,0
12831,278,0
12881,279,0
12931,280,0
12981,281,0
13031,282,0
13032,283,1
13082,284,0
13132,285,0
13182,286,0
13232,287,0
13233,288,1
13283,289,0
13284,290,1
13334,291,0
13384,292,0
13434,293,0
13484,294,0
13485,295,1
13535,296,0
13585,297,0
13635,298,0
13685,299,0
13735,300,0
13785,301,0
13835,302,0
13885,303,0
13935,304,0
13985,305,0
14035,306,0
14085,307,0
14135,308,0
14185,309,0
14235,310,0
14285,311,0
14335,312,0
14385,313,0
14435,314,0
14485,315,0
14535,316,0
14585,317,0
14635,318,0
14685,319,0
14735,320,0
14785,321,0
14835,322,0
14885,323,0
14935,324,0
14985,325,0
15035,326,0
15085,327,0
15086,328,1
15136,329,0
15186,330,0
15236,331,0
15286,332,0
15287,333,1
15337,334,0
15387,335,0
15437,336,0
15487,337,0
15537,338,0
15587,339,0
15637,340,0
15687,341,0
15737,342,0
15787,343,0
15837,344,0
15887,345,0
15937,346,0
15987,347,0
16037,348,0
16087,349,0
16137,350,0
16187,351,0
16237,352,0
16287,353,0
16337,354,0
16387,355,0
16437,356,0
16487,357,0
16537,358,0
16587,359,0
16637,360,0
16687,361,0
16737,362,0
16787,363,0
16837,364,0
16887,365,0
16937,366,0
16987,367,0
17037,368,0
17087,369,0
17137,370,0
17187,371,0
17237,372,0
17287,373,0
17337,374,0
17387,375,0
17437,376,0
17487,377,0
17488,378,1
17538,379,0
17588,380,0
17589,381,1
17639,382,0
17689,383,0
17739,384,0
17789,385,0
17839,386,0
17840,387,1
17890,388,0
17940,389,0
17990,390,0
18040,391,0
18090,392,0
18140,393,0
18190,394,0
18240,395,0
18290,396,0
18340,397,0
18390,398,0
18440,399,0
18490,400,0
18540,401,0
18590,402,0
18591,403,1
18641,404,0
18691,405,0
18741,406,0
18791,407,0
18841,408,0
18891,409,0
18941,410,0
18991,411,0
19041,412,0
19091,413,0
19141,414,0
19191,415,0
19241,416,0
19291,417,0
19341,418,0
19391,419,0
19441,420,0
19491,421,0
19541,422,0
19591,423,0
19641,424,0
19691,425,0
19741,426,0
19791,427,0
19841,428,0
19891,429,0
19941,430,0
19991,431,0
20041,432,0
20042,433,1
20092,434,0
20142,435,0
20192,436,0
20193,437,1
20243,438,0
20263,439,1
20313,440,0
20363,441,0
20413,442,0
20463,443,0
20513,444,0
20563,445,0
20613,446,0
20663,447,0
20713,448,0
20763,449,0
20813,450,0
20863,451,0
20913,452,0
20963,453,0
21013,454,0
21063,455,0
21113,456,0
21163,457,0
21164,458,1
21214,459,0
21264,460,0
21314,461,0
21315,462,1
