timesteps,episode,success
50,0,0
53,1,1
103,2,0
153,3,0
203,4,0
253,5,0
303,6,0
353,7,0
403,8,0
453,9,0
503,10,0
553,11,0
603,12,0
653,13,0
657,14,1
707,15,0
757,16,0
807,17,0
857,18,0
907,19,0
957,20,0
1007,21,0
1057,22,0
1107,23,0
1157,24,0
1207,25,0
1257,26,0
1307,27,0
1357,28,0
1407,29,0
1457,30,0
1507,31,0
1557,32,0
1607,33,0
1657,34,0
1707,35,0
1757,36,0
1807,37,0
1857,38,0
1859,39,1
1909,40,0
1959,41,0
2009,42,0
2059,43,0
2109,44,0
2159,45,0
2209,46,0
2259,47,0
2260,48,1
2310,49,0
2360,50,0
2410,51,0
2460,52,0
2510,53,0
2560,54,0
2610,55,0
2612,56,1
2662,57,0
2712,58,0
2762,59,0
2812,60,0
2862,61,0
2912,62,0
2962,63,0
3012,64,0
3062,65,0
3112,66,0
3162,67,0
3212,68,0
3262,69,0
3312,70,0
3362,71,0
3412,72,0
3462,73,0
3512,74,0
3562,75,0
3612,76,0
3662,77,0
3663,78,1
3713,79,0
3763,80,0
3813,81,0
3863,82,0
3913,83,0
3963,84,0
4013,85,0
4063,86,0
4113,87,0
4163,88,0
4193,89,1
4243,90,0
4246,91,1
4296,92,0
4346,93,0
4396,94,0
4417,95,1
4467,96,0
4517,97,0
4567,98,0
4617,99,0
4667,100,0
4717,101,0
4767,102,0
4777,103,1
4827,104,0
4877,105,0
4906,106,1
4956,107,0
4971,108,1
4978,109,1
4997,110,1
5010,111,1
5060,112,0
5110,113,0
5160,114,0
5210,115,0
5260,116,0
5310,117,0
5312,118,1
5362,119,0
5412,120,0
5414,121,1
5464,122,0
5514,123,0
5564,124,0
5614,125,0
5664,126,0
5714,127,0
5764,128,0
5814,129,0
5864,130,0
5914,131,0
5964,132,0
6014,133,0
6064,134,0
6114,135,0
6164,136,0
6214,137,0
6264,138,0
6314,139,0
6364,140,0
6414,141,0
6464,142,0
6514,143,0
6515,144,1
6565,145,0
6615,146,0
6665,147,0
6669,148,1
6719,149,0
6769,150,0
6819,151,0
6869,152,0
6872,153,1
6922,154,0
6972,155,0
7022,156,0
7072,157,0
7122,158,0
7165,159,1
7215,160,0
7265,161,0
7315,162,0
7365,163,0
7415,164,0
7465,165,0
7515,166,0
7565,167,0
7615,168,0
7665,169,0
7672,170,1
7722,171,0
7772,172,0
7822,173,0
7872,174,0
7922,175,0
7972,176,0
8022,177,0
8072,178,0
8122,179,0
8172,180,0
8222,181,0
8272,182,0
8322,183,0
8372,184,0
8422,185,0
8472,186,0
8522,187,0
8531,188,1
8581,189,0
8631,190,0
8681,191,0
8691,192,1
8741,193,0
8745,194,1
8795,195,0
8845,196,0
8895,197,0
8945,198,0
8995,199,0
9045,200,0
9095,201,0
9145,202,0
9195,203,0
9199,204,1
9249,205,0
9299,206,0
9302,207,1
9352,208,0
9356,209,1
9406,210,0
9414,211,1
9464,212,0
9514,213,0
9564,214,0
9566,215,1
9568,216,1
9618,217,0
9668,218,0
9718,219,0
9768,220,0
9818,221,0
9868,222,0
9918,223,0
9968,224,0
10018,225,0
10068,226,0
10071,227,1
10074,228,1
10124,229,0
10129,230,1
10179,231,0
10185,232,1
10235,233,0
10285,234,0
10335,235,0
10344,236,1
10347,237,1
10397,238,0
10447,239,0
10497,240,0
10547,241,0
10597,242,0
10602,243,1
10652,244,0
10702,245,0
10705,246,1
10755,247,0
10805,248,0
10855,249,0
10905,250,0
10906,251,1
10956,252,0
11006,253,0
11020,254,1
11070,255,0
11120,256,0
11170,257,0
11220,258,0
11223,259,1
11225,260,1
11275,261,0
11325,262,0
11327,263,1
11377,264,0
11389,265,1
11390,266,1
11440,267,0
11442,268,1
11492,269,1
11542,270,0
11592,271,0
11642,272,0
11692,273,0
11694,274,1
11697,275,1
11747,276,0
11748,277,1
11750,278,1
11758,279,1
11762,280,1
11770,281,1
11820,282,0
11870,283,0
11920,284,0
11970,285,0
12020,286,0
12070,287,0
12120,288,0
12170,289,0
12212,290,1
12262,291,0
12264,292,1
12314,293,0
12364,294,0
12372,295,1
12376,296,1
12426,297,0
12433,298,1
12446,299,1
12496,300,0
12501,301,1
12551,302,0
12554,303,1
12604,304,0
12654,305,0
12704,306,0
12754,307,0
12804,308,0
12854,309,0
12904,310,0
12954,311,0
13004,312,0
13014,313,1
13064,314,0
13098,315,1
13148,316,0
13198,317,0
13248,318,0
13298,319,0
13348,320,0
13398,321,0
13403,322,1
13412,323,1
13417,324,1
13467,325,0
13470,326,1
13471,327,1
13487,328,1
13537,329,0
13544,330,1
13565,331,1
13615,332,0
13626,333,1
13676,334,0
13678,335,1
13728,336,0
13733,337,1
13745,338,1
13795,339,0
13798,340,1
13848,341,0
13886,342,1
13936,343,0
13939,344,1
13942,345,1
13944,346,1
13954,347,1
13988,348,1
13991,349,1
14041,350,0
14057,351,1
14107,352,0
14129,353,1
14179,354,0
14206,355,1
14256,356,0
14306,357,0
14327,358,1
14339,359,1
14340,360,1
14346,361,1
14396,362,1
14431,363,1
14481,364,0
14489,365,1
14539,366,0
14548,367,1
14598,368,0
14648,369,0
14656,370,1
14677,371,1
14683,372,1
14689,373,1
14739,374,0
14789,375,0
14801,376,1
14841,377,1
14848,378,1
14859,379,1
14867,380,1
14890,381,1
14923,382,1
14930,383,1
14980,384,0
14991,385,1
14994,386,1
15002,387,1
15007,388,1
15021,389,1
15025,390,1
15028,391,1
15046,392,1
15064,393,1
15078,394,1
15098,395,1
15148,396,0
15152,397,1
15153,398,1
15203,399,0
15210,400,1
15214,401,1
15216,402,1
15266,403,0
15316,404,0
15327,405,1
15330,406,1
15339,407,1
15346,408,1
15396,409,0
15399,410,1
15449,411,0
15451,412,1
15501,413,0
15507,414,1
15510,415,1
15560,416,0
15564,417,1
15614,418,0
15626,419,1
15629,420,1
15630,421,1
15641,422,1
15659,423,1
15661,424,1
15672,425,1
15674,426,1
15723,427,1
15747,428,1
15749,429,1
15799,430,0
15802,431,1
15804,432,1
15854,433,0
15856,434,1
15858,435,1
15865,436,1
15869,437,1
15897,438,1
15901,439,1
15905,440,1
15915,441,1
15965,442,0
15968,443,1
16018,444,0
16068,445,0
16074,446,1
16084,447,1
16134,448,0
16156,449,1
16175,450,1
16216,451,1
16230,452,1
16246,453,1
16296,454,0
16346,455,0
16396,456,0
16446,457,0
16496,458,0
16498,459,1
16548,460,0
16598,461,0
16648,462,0
16651,463,1
16656,464,1
16690,465,1
16740,466,0
16790,467,0
16840,468,0
16890,469,0
16940,470,0
16990,471,0
16995,472,1
17045,473,0
17051,474,1
17055,475,1
17105,476,0
17109,477,1
17122,478,1
17148,479,1
17155,480,1
17205,481,0
17216,482,1
17223,483,1
17232,484,1
17282,485,0
17304,486,1
17315,487,1
17319,488,1
17341,489,1
17391,490,0
17397,491,1
17406,492,1
17456,493,0
17461,494,1
17511,495,0
17531,496,1
17581,497,0
17585,498,1
17588,499,1
17597,500,1
17600,501,1
17604,502,1
17608,503,1
17610,504,1
17647,505,1
17697,506,0
17712,507,1
17762,508,0
17773,509,1
17783,510,1
17797,511,1
17805,512,1
17814,513,1
17817,514,1
17818,515,1
17824,516,1
17833,517,1
17835,518,1
17840,519,1
17853,520,1
17858,521,1
17866,522,1
17868,523,1
17873,524,1
17878,525,1
17884,526,1
17889,527,1
17895,528,1
17945,529,0
17964,530,1
17972,531,1
17976,532,1
18026,533,0
18076,534,0
18079,535,1
18113,536,1
18115,537,1
18118,538,1
18120,539,1
18170,540,0
18177,541,1
18181,542,1
18184,543,1
18220,544,1
18270,545,0
18273,546,1
18282,547,1
18287,548,1
18303,549,1
18331,550,1
18335,551,1
18342,552,1
18345,553,1
18348,554,1
18364,555,1
18368,556,1
18377,557,1
18382,558,1
18390,559,1
18396,560,1
18409,561,1
18410,562,1
18414,563,1
18420,564,1
18427,565,1
18443,566,1
18447,567,1
18451,568,1
18460,569,1
18510,570,0
18517,571,1
18525,572,1
18527,573,1
18539,574,1
18541,575,1
18544,576,1
18548,577,1
18551,578,1
18552,579,1
18559,580,1
18609,581,0
18623,582,1
18631,583,1
18633,584,1
18663,585,1
18665,586,1
18715,587,0
18718,588,1
18722,589,1
18772,590,0
18822,591,0
18825,592,1
18827,593,1
18832,594,1
18882,595,0
18885,596,1
18888,597,1
18892,598,1
18942,599,0
18967,600,1
18970,601,1
18978,602,1
18981,603,1
18997,604,1
19008,605,1
19009,606,1
19028,607,1
19038,608,1
19056,609,1
19074,610,1
19077,611,1
19080,612,1
19130,613,0
19132,614,1
19133,615,1
